"","Species","Limb.Width","unitsW","Limb.Length","unitsL"
"1","Ursus maritimus",4.09942874259348,"cm",68.6596340867165,"cm"
"2","Chrysemys picta",8.91715450994561,"mm",29.8740594268925,"mm"
"3","Falco perefrinus",15.4976119673022,"cm",194.429749481804,"mm"
"4","Salvenlinus alpinus",20.9603332218646,"cm",114.159877562281,"mm"
"5","Psedacris crucifer",14.4017432016816,"mm",140.013486357996,"mm"
"6","Pantherophis guttatus",8.59916796117141,"mm",89.0560109424547,"cm"
"7","Cardinalis cardinalis",11.8861716364543,"mm",70.7730828554232,"mm"
"8","Quercus alba",9.55258601350223,"cm",280.459680486411,"mm"
"9","Acer saccharum",19.2585974836685,"cm",184.948248320001,"cm"
"10","Rosa Gallicanae",27.2519106988731,"mm",79.4730088295008,"mm"
